soundlevel,date
51.46918914,01:09.7
56.51647236,01:09.8
52.87922657,01:09.9
59.54351382,01:10.0
55.0422049,01:10.1
56.51647236,01:10.2
66.74544501,01:10.3
57.26337649,01:10.4
57.26337649,01:10.5
61.09674558,01:10.6
61.09674558,01:10.7
59.54351382,01:10.8
61.09674558,01:10.9
60.3167966,01:11.0
70.12433541,01:11.1
58.01683237,01:11.2
62.67675655,01:11.3
61.88338936,01:11.4
65.09748468,01:11.5
59.54351382,01:11.6
65.09748468,01:11.7
59.54351382,01:11.8
52.87922657,01:11.9
58.77686861,01:12.0
61.09674558,01:12.1
61.09674558,01:12.2
60.3167966,01:12.3
60.3167966,01:12.4
62.67675655,01:12.5
63.47687576,01:12.6
61.88338936,01:12.7
62.67675655,01:12.8
61.88338936,01:12.9
61.88338936,01:13.0
59.54351382,01:13.1
63.47687576,01:13.2
60.3167966,01:13.3
61.09674558,01:13.4
59.54351382,01:13.6
58.77686861,01:13.6
58.77686861,01:13.7
66.74544501,01:13.8
59.54351382,01:14.0
64.2837756,01:14.0
62.67675655,01:14.1
64.2837756,01:14.2
68.42098562,01:14.4
62.67675655,01:14.4
60.3167966,01:14.5
58.77686861,01:14.7
58.01683237,01:14.8
61.09674558,01:14.9
70.12433541,01:14.9
65.09748468,01:15.0
63.47687576,01:15.1
61.09674558,01:15.3
60.3167966,01:15.4
58.77686861,01:15.5
60.3167966,01:15.5
63.47687576,01:15.7
61.09674558,01:15.8
64.2837756,01:15.9
63.47687576,01:16.0
66.74544501,01:16.1
68.42098562,01:16.2
62.67675655,01:16.3
61.88338936,01:16.4
62.67675655,01:16.5
55.0422049,01:16.6
55.0422049,01:16.7
57.26337649,01:16.8
61.88338936,01:16.9
61.88338936,01:17.0
60.3167966,01:17.1
62.67675655,01:17.2
61.88338936,01:17.3
61.88338936,01:17.4
61.09674558,01:17.5
62.67675655,01:17.6
61.09674558,01:17.7
60.3167966,01:17.8
61.09674558,01:17.9
61.09674558,01:18.0
62.67675655,01:18.1
61.88338936,01:18.2
61.09674558,01:18.3
62.67675655,01:18.4
61.09674558,01:18.5
58.01683237,01:18.6
62.67675655,01:18.7
62.67675655,01:18.8
64.2837756,01:18.9
62.67675655,01:19.0
67.57975347,01:19.1
62.67675655,01:19.2
61.09674558,01:19.3
62.67675655,01:19.4
63.47687576,01:19.5
61.88338936,01:19.6
63.47687576,01:19.7
66.74544501,01:19.8
63.47687576,01:19.9
63.47687576,01:20.0
61.09674558,01:20.1
60.3167966,01:20.2
63.47687576,01:20.3
61.09674558,01:20.4
61.88338936,01:20.5
60.3167966,01:20.6
61.09674558,01:20.7
61.09674558,01:20.8
61.88338936,01:20.9
61.88338936,01:21.0
61.88338936,01:21.1
62.67675655,01:21.2
62.67675655,01:21.3
63.47687576,01:21.4
64.2837756,01:21.5
63.47687576,01:21.6
61.09674558,01:21.7
60.3167966,01:21.8
63.47687576,01:21.9
62.67675655,01:22.0
62.67675655,01:22.1
65.09748468,01:22.2
65.09748468,01:22.3
61.88338936,01:22.4
65.09748468,01:22.5
63.47687576,01:22.6
65.09748468,01:22.7
69.26917006,01:22.8
64.2837756,01:22.9
55.77609136,01:23.1
62.67675655,01:23.2
65.09748468,01:23.2
80.00007629,01:23.3
62.67675655,01:23.4
58.01683237,01:23.6
60.3167966,01:23.6
54.31478435,01:23.7
55.0422049,01:23.9
57.26337649,01:24.0
61.88338936,01:24.0
63.47687576,01:24.1
61.09674558,01:24.3
73.61537801,01:24.4
63.47687576,01:24.4
68.42098562,01:24.6
73.61537801,01:24.7
48.72475979,01:24.8
57.26337649,01:24.9
56.51647236,01:25.0
61.88338936,01:25.1
61.88338936,01:25.2
59.54351382,01:25.3
62.67675655,01:25.4
65.09748468,01:25.5
62.67675655,01:25.6
63.47687576,01:25.7
62.67675655,01:25.8
62.67675655,01:25.9
63.47687576,01:26.0
63.47687576,01:26.1
61.09674558,01:26.2
61.88338936,01:26.3
62.67675655,01:26.4
63.47687576,01:26.5
62.67675655,01:26.6
60.3167966,01:26.7
63.47687576,01:26.8
64.2837756,01:26.9
64.2837756,01:27.0
62.67675655,01:27.1
63.47687576,01:27.2
63.47687576,01:27.3
62.67675655,01:27.4
62.67675655,01:27.5
63.47687576,01:27.6
65.09748468,01:27.7
61.88338936,01:27.8
62.67675655,01:27.9
65.91803161,01:28.0
66.74544501,01:28.1
72.73200296,01:28.2
67.57975347,01:28.3
56.51647236,01:28.4
66.74544501,01:28.5
65.09748468,01:28.6
65.09748468,01:28.7
65.09748468,01:28.8
58.77686861,01:28.9
80.94124407,01:29.0
101.3467468,01:29.1
33.22542975,01:29.2
48.05424505,01:29.3
53.59380111,01:29.4
69.26917006,01:29.5
157.7195766,01:29.6
162.183077,01:29.7
80.94124407,01:29.8
38.14700904,01:29.9
43.53207448,01:30.0
48.05424505,01:30.1
50.08444317,01:30.2
59.54351382,01:30.3
82.84566674,01:30.4
80.94124407,01:30.5
85.75794769,01:30.6
77.22040388,01:30.7
66.74544501,01:30.8
64.2837756,01:30.9
44.15993134,01:31.0
51.46918914,01:31.1
56.51647236,01:31.2
47.38991012,01:31.3
73.61537801,01:31.4
66.74544501,01:31.5
69.26917006,01:31.6
63.47687576,01:31.7
53.59380111,01:31.8
74.50587702,01:31.9
60.3167966,01:32.0
77.22040388,01:32.2
62.67675655,01:32.2
83.80897885,01:32.3
76.30836135,01:32.4
56.51647236,01:32.5
65.91803161,01:32.6
99.16732232,01:32.8
82.84566674,01:32.8
87.73690008,01:32.9
52.17103212,01:33.0
80.94124407,01:33.2
80.94124407,01:33.3
71.85572324,01:33.4
27.34825358,01:33.4
89.7460649,01:33.6
75.4035286,01:33.7
44.15993134,01:33.8
39.30290156,01:33.8
61.88338936,01:34.0
33.75003219,01:34.1
45.43369811,01:34.2
87.73690008,01:34.3
51.46918914,01:34.4
73.61537801,01:34.5
66.74544501,01:34.6
59.54351382,01:34.7
58.01683237,01:34.8
61.09674558,01:34.9
57.26337649,01:35.0
90.76204849,01:35.1
41.68426674,01:35.2
59.54351382,01:35.3
42.2942708,01:35.4
61.09674558,01:35.5
58.01683237,01:35.6
58.77686861,01:35.7
53.59380111,01:35.8
59.54351382,01:35.9
62.67675655,01:36.0
62.67675655,01:36.1
62.67675655,01:36.2
61.88338936,01:36.3
64.2837756,01:36.4
64.2837756,01:36.5
62.67675655,01:36.6
64.2837756,01:36.7
62.67675655,01:36.8
62.67675655,01:36.9
63.47687576,01:37.0
61.88338936,01:37.1
63.47687576,01:37.2
63.47687576,01:37.3
61.88338936,01:37.4
62.67675655,01:37.5
63.47687576,01:37.6
62.67675655,01:37.7
62.67675655,01:37.8
65.09748468,01:37.9
64.2837756,01:38.0
66.74544501,01:38.1
63.47687576,01:38.2
64.2837756,01:38.3
66.74544501,01:38.4
65.91803161,01:38.5
65.09748468,01:38.6
63.47687576,01:38.7
63.47687576,01:38.8
62.67675655,01:38.9
61.88338936,01:39.0
65.09748468,01:39.1
63.47687576,01:39.2
64.2837756,01:39.3
64.2837756,01:39.4
64.2837756,01:39.5
63.47687576,01:39.6
65.91803161,01:39.7
64.2837756,01:39.8
65.09748468,01:39.9
66.74544501,01:40.0
66.74544501,01:40.1
63.47687576,01:40.2
61.88338936,01:40.3
65.91803161,01:40.4
63.47687576,01:40.5
54.31478435,01:40.6
59.54351382,01:40.7
62.67675655,01:40.8
